molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,active,100.0,344.37800000000004,3.0476400000000012,5.0,4.0
CHEMBL1256768,N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,active,420.0,344.37800000000004,3.0476400000000012,5.0,4.0
CHEMBL3334763,Nc1ncnc2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,active,380.0,263.257,-1.4067000000000007,4.0,8.0
CHEMBL3334764,Nc1ncnc2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,active,760.0,263.257,-1.4067000000000007,4.0,8.0
CHEMBL3753489,Nc1nccc2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,active,320.0,262.269,-0.8017000000000005,4.0,7.0
CHEMBL3753637,Nc1nccc2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,active,320.0,262.269,-0.8017000000000005,4.0,7.0
CHEMBL2059155,Nc1ncc(Br)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,active,320.0,341.1650000000001,-0.02879999999999988,4.0,7.0
CHEMBL3753746,Nc1ncc(Br)c2c1ncn2C1=C[C@H](CO)[C@@H](O)[C@H]1O,active,100.0,341.1650000000001,-0.039199999999999846,4.0,7.0
CHEMBL3754027,Nc1ncc(Br)c2c1ncn2C1=C[C@@H](CO)[C@H](O)[C@@H]1O,intermediate,3510.0,341.1650000000001,-0.039199999999999846,4.0,7.0
CHEMBL3911379,CCC(CC)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,60.0,588.5580000000002,2.064579999999999,4.0,13.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,active,770.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,20000.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4068210,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,170.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,100.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090316,N#C[C@@]1(n2ccc(N)nc2=O)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,50000.0,268.229,-2.885219999999999,4.0,9.0
CHEMBL4069270,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)Oc1ccccc1,inactive,20000.0,537.4660000000002,0.255880000000001,4.0,13.0
CHEMBL3120779,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@@]1(C#N)c1ccc2c(N)ncnn12,inactive,50000.0,305.294,-1.46662,4.0,9.0
CHEMBL3120789,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1O)Oc1ccccc1,inactive,27000.0,616.6120000000003,2.70228,4.0,13.0
CHEMBL3120793,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1OC(=O)C(C)C)Oc1ccccc1,inactive,20000.0,644.6220000000002,2.881380000000001,3.0,14.0
CHEMBL4084735,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,4380.0,622.5750000000004,2.1186799999999986,4.0,13.0
CHEMBL4101182,CCOC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,intermediate,7040.0,574.5310000000002,1.5319800000000001,4.0,13.0
CHEMBL4074442,CCOC(=O)[C@H](CC)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,8470.0,560.5040000000002,1.2859799999999997,4.0,13.0
CHEMBL4093434,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,2425.0,546.4770000000002,0.89588,4.0,13.0
CHEMBL4065821,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCC1,active,420.0,572.515,1.4284799999999989,4.0,13.0
CHEMBL4064050,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,1845.0,560.5040000000002,1.2843799999999999,4.0,13.0
CHEMBL4091811,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC(C)(C)C,inactive,30410.0,574.5310000000001,1.6744799999999989,4.0,13.0
CHEMBL4072649,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,active,633.0,586.5419999999999,1.8185799999999988,4.0,13.0
CHEMBL4099554,CCC(CC)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,1810.0,588.5580000000002,2.064579999999999,4.0,13.0
CHEMBL4083126,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OCC(C)(C)C,active,168.0,588.558,1.9220799999999987,4.0,13.0
CHEMBL4061258,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,80.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090912,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,550.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4069927,CCOC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OCC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,inactive,20420.0,569.5120000000005,-0.6419199999999952,5.0,14.0
CHEMBL4098638,CCC(CC)OC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OC(CC)CC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,active,970.0,653.6740000000003,1.6954800000000005,5.0,14.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,active,780.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4068210,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,120.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,53.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL2016758,C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,10000.0,280.28400000000005,-1.3604,4.0,8.0
CHEMBL4086934,C#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(N[C@@H](C)C(=O)OCC(CC)CC)Oc2ccccc2)[C@@H](O)[C@H]1O,intermediate,3900.0,601.5970000000005,2.4217999999999997,4.0,12.0
CHEMBL4065501,N#C[C@@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,56000.0,292.255,-2.3022199999999997,4.0,10.0
CHEMBL4090316,N#C[C@@]1(n2ccc(N)nc2=O)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,10000.0,268.229,-2.885219999999999,4.0,9.0
CHEMBL3120779,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@@]1(C#N)c1ccc2c(N)ncnn12,inactive,10000.0,305.294,-1.46662,4.0,9.0
CHEMBL3120789,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1O)Oc1ccccc1,inactive,13000.0,616.6120000000003,2.70228,4.0,13.0
CHEMBL3120793,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@](C)(O)[C@@H]1OC(=O)C(C)C)Oc1ccccc1,inactive,40000.0,644.6220000000002,2.881380000000001,3.0,14.0
CHEMBL4084735,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,587.0,622.5750000000004,2.1186799999999986,4.0,13.0
CHEMBL4101182,CCOC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(C)C,intermediate,3151.0,574.5310000000002,1.5319800000000001,4.0,13.0
CHEMBL4074442,CCOC(=O)[C@H](CC)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,1585.0,560.5040000000002,1.2859799999999997,4.0,13.0
CHEMBL4093434,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,636.0,546.4770000000002,0.89588,4.0,13.0
CHEMBL4065821,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCC1,active,88.0,572.515,1.4284799999999989,4.0,13.0
CHEMBL4064050,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,367.0,560.5040000000002,1.2843799999999999,4.0,13.0
CHEMBL4091811,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC(C)(C)C,intermediate,3790.0,574.5310000000001,1.6744799999999989,4.0,13.0
CHEMBL4072649,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,active,160.0,586.5419999999999,1.8185799999999988,4.0,13.0
CHEMBL4099554,CCC(CC)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,845.0,588.5580000000002,2.064579999999999,4.0,13.0
CHEMBL4083126,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OCC(C)(C)C,active,92.0,588.558,1.9220799999999987,4.0,13.0
CHEMBL4061258,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,53.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090912,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,518.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4069927,CCOC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OCC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,intermediate,9102.0,569.5120000000005,-0.6419199999999952,5.0,14.0
CHEMBL4098638,CCC(CC)OC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OC(CC)CC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,active,678.0,653.6740000000003,1.6954800000000005,5.0,14.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,20000.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4068210,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,100.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,86.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4064050,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,297.0,560.5040000000002,1.2843799999999999,4.0,13.0
CHEMBL4072649,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,active,120.0,586.5419999999999,1.8185799999999988,4.0,13.0
CHEMBL4061258,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,111.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090912,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,729.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4084735,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,270.0,622.5750000000004,2.1186799999999986,4.0,13.0
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,inactive,100000.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,inactive,29000.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL4065538,COc1nc(N)ncc1-c1cn(COCCOC(C)=O)cn1,inactive,44000.0,307.31,0.46809999999999974,1.0,9.0
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,inactive,100000.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,inactive,27200.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,intermediate,2200.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,intermediate,7000.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL4065538,COc1nc(N)ncc1-c1cn(COCCOC(C)=O)cn1,inactive,20000.0,307.31,0.46809999999999974,1.0,9.0
