MW,LogP,NumHDonors,NumHAcceptors
344.37800000000004,3.0476400000000012,5.0,4.0
344.37800000000004,3.0476400000000012,5.0,4.0
263.257,-1.4067000000000007,4.0,8.0
263.257,-1.4067000000000007,4.0,8.0
262.269,-0.8017000000000005,4.0,7.0
262.269,-0.8017000000000005,4.0,7.0
341.1650000000001,-0.02879999999999988,4.0,7.0
341.1650000000001,-0.039199999999999846,4.0,7.0
341.1650000000001,-0.039199999999999846,4.0,7.0
588.5580000000002,2.064579999999999,4.0,13.0
291.267,-1.8567200000000001,4.0,9.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
268.229,-2.885219999999999,4.0,9.0
537.4660000000002,0.255880000000001,4.0,13.0
305.294,-1.46662,4.0,9.0
616.6120000000003,2.70228,4.0,13.0
644.6220000000002,2.881380000000001,3.0,14.0
622.5750000000004,2.1186799999999986,4.0,13.0
574.5310000000002,1.5319800000000001,4.0,13.0
560.5040000000002,1.2859799999999997,4.0,13.0
546.4770000000002,0.89588,4.0,13.0
572.515,1.4284799999999989,4.0,13.0
560.5040000000002,1.2843799999999999,4.0,13.0
574.5310000000001,1.6744799999999989,4.0,13.0
586.5419999999999,1.8185799999999988,4.0,13.0
588.5580000000002,2.064579999999999,4.0,13.0
588.558,1.9220799999999987,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
569.5120000000005,-0.6419199999999952,5.0,14.0
653.6740000000003,1.6954800000000005,5.0,14.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
280.28400000000005,-1.3604,4.0,8.0
601.5970000000005,2.4217999999999997,4.0,12.0
292.255,-2.3022199999999997,4.0,10.0
268.229,-2.885219999999999,4.0,9.0
305.294,-1.46662,4.0,9.0
616.6120000000003,2.70228,4.0,13.0
644.6220000000002,2.881380000000001,3.0,14.0
622.5750000000004,2.1186799999999986,4.0,13.0
574.5310000000002,1.5319800000000001,4.0,13.0
560.5040000000002,1.2859799999999997,4.0,13.0
546.4770000000002,0.89588,4.0,13.0
572.515,1.4284799999999989,4.0,13.0
560.5040000000002,1.2843799999999999,4.0,13.0
574.5310000000001,1.6744799999999989,4.0,13.0
586.5419999999999,1.8185799999999988,4.0,13.0
588.5580000000002,2.064579999999999,4.0,13.0
588.558,1.9220799999999987,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
569.5120000000005,-0.6419199999999952,5.0,14.0
653.6740000000003,1.6954800000000005,5.0,14.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
560.5040000000002,1.2843799999999999,4.0,13.0
586.5419999999999,1.8185799999999988,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
602.5850000000002,2.3121799999999997,4.0,13.0
622.5750000000004,2.1186799999999986,4.0,13.0
265.27299999999997,-0.10270000000000018,2.0,8.0
576.5910000000003,4.066200000000002,2.0,12.0
307.31,0.46809999999999974,1.0,9.0
265.27299999999997,-0.10270000000000018,2.0,8.0
576.5910000000003,4.066200000000002,2.0,12.0
265.27299999999997,-0.10270000000000018,2.0,8.0
576.5910000000003,4.066200000000002,2.0,12.0
307.31,0.46809999999999974,1.0,9.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
291.267,-1.8567200000000001,4.0,9.0
602.5850000000002,2.3121799999999997,4.0,13.0
232.24300000000002,-0.15380000000000027,3.0,6.0
311.139,0.6087,3.0,6.0
370.47800000000007,3.5627000000000013,1.0,7.0
356.451,3.174200000000001,1.0,7.0
356.451,3.174200000000001,1.0,7.0
356.451,3.174200000000001,1.0,7.0
342.42400000000004,2.7857000000000003,1.0,7.0
573.7340000000003,4.419100000000004,1.0,6.0
624.1500000000002,4.298500000000003,1.0,6.0
611.1550000000002,4.3316000000000034,2.0,6.0
623.1660000000003,4.3316000000000034,2.0,6.0
573.7340000000003,4.419100000000004,1.0,6.0
624.1500000000002,4.298500000000003,1.0,6.0
611.1550000000002,4.3316000000000034,2.0,6.0
623.1660000000003,4.3316000000000034,2.0,6.0
573.7340000000003,4.419100000000004,1.0,6.0
624.1500000000002,4.298500000000003,1.0,6.0
611.1550000000002,4.3316000000000034,2.0,6.0
623.1660000000003,4.3316000000000034,2.0,6.0
342.69699999999995,5.601400000000004,1.0,1.0
384.9950000000002,5.167600000000005,0.0,2.0
419.4400000000002,5.821000000000006,0.0,2.0
419.44000000000017,5.821000000000006,0.0,2.0
405.41300000000024,5.430900000000006,0.0,2.0
405.4130000000001,5.430900000000006,0.0,2.0
370.96800000000013,4.777500000000004,0.0,2.0
406.9790000000002,3.923700000000003,0.0,3.0
397.5440000000002,3.141980000000002,0.0,4.0
378.56300000000016,3.331800000000002,0.0,4.0
441.4240000000003,4.577100000000004,0.0,3.0
441.4240000000003,4.577100000000004,0.0,3.0
405.36900000000026,5.028600000000005,0.0,2.0
370.9240000000002,4.375200000000003,0.0,2.0
405.36900000000026,5.028600000000005,0.0,2.0
340.4860000000001,4.220700000000004,0.0,2.0
406.4920000000002,4.980200000000004,0.0,3.0
322.4960000000002,4.0816000000000034,0.0,2.0
352.5220000000001,4.090200000000004,0.0,3.0
391.3860000000002,5.388400000000005,0.0,2.0
391.3860000000002,5.388400000000005,0.0,2.0
391.3860000000002,5.388400000000005,0.0,2.0
336.52300000000014,4.390020000000004,0.0,2.0
356.94100000000014,4.735000000000004,0.0,2.0
232.37099999999995,2.1690000000000005,1.0,2.0
279.27099999999996,0.11089999999999989,4.0,6.0
262.269,-0.7913000000000003,4.0,7.0
261.281,-0.18629999999999997,4.0,6.0
374.40000000000015,3.894400000000002,2.0,5.0
355.3970000000001,4.041900000000002,1.0,4.0
339.35800000000006,3.7488800000000007,2.0,4.0
157.10399999999998,-0.5798000000000002,2.0,4.0
405.969,6.215000000000006,0.0,2.0
632.4640000000002,5.111600000000005,2.0,8.0
279.3,-1.862899999999999,6.0,7.0
602.5850000000002,2.3121799999999997,4.0,13.0
632.4640000000002,5.111600000000005,2.0,8.0
660.518,5.891800000000007,2.0,8.0
442.69600000000037,5.474600000000005,2.0,6.0
286.42300000000006,3.552200000000002,1.0,4.0
258.369,2.773600000000001,1.0,4.0
377.8790000000001,5.135600000000003,2.0,5.0
414.5540000000003,1.8982000000000006,2.0,8.0
386.5880000000002,3.9174000000000024,2.0,6.0
358.53400000000016,3.137200000000001,2.0,6.0
442.60800000000035,2.678400000000001,2.0,8.0
632.5080000000005,6.511300000000009,2.0,7.0
662.49,4.472500000000006,3.0,9.0
636.4960000000004,5.603600000000009,2.0,8.0
475.46800000000036,5.081400000000003,4.0,6.0
520.3360000000004,5.1448000000000045,4.0,6.0
632.4640000000002,5.111600000000005,2.0,8.0
660.518,5.891800000000007,2.0,8.0
319.88000000000005,4.810600000000004,1.0,3.0
232.243,-0.020100000000000062,3.0,6.0
311.139,0.7424000000000002,3.0,6.0
311.139,0.7424000000000002,3.0,6.0
262.269,-0.7913000000000003,4.0,7.0
341.1650000000001,-0.02879999999999988,4.0,7.0
157.10399999999998,-0.5798000000000002,2.0,4.0
